id	first_name	last_name	contributions	total_contributions
94	Kenneth	Andrasko	[4.3.2.905.113.x1]	1
95	M.	Andreae	[1.1.2.1002.36.x1|2.1.4.1002.36.x1|3.1.2.1002.36.x1]	3
96	Rigoberto	Andressen	[2.2.2.1272.120.x2]	2
97	Jean	Andrey	[4.2.4.766.20.x1]	1
98	Natalia	Andronova	[4.1.4.247.113.x1|4.2.4.247.113.x1]	2
99	B.W.	Ang	[2.2.2.894.92.x1]	1
100	J.K.	Angell	[1.1.2.188.113.x1]	1
101	J.	Angella	[2.1.4.188.113.x1]	1
102	Oleg A.	Anisimov	[1.2.4.294.86.x1|2.2.4.294.86.x1|3.1.4.294.86.x2|3.2.1.294.86.x1|3.2.2.294.86.x2|4.2.1.294.86.x1|4.2.2.294.86.x2|5.2.1.294.86.x1|5.2.2.294.86.x1]	12
103	S.	Anjian	[2.1.4.1213.23.x1]	1
104	James	Annan	[4.1.4.660.51.x1]	1
105	H.	Annegarn	[3.1.2.478.95.x1]	1
106	Yurij	Anokhin	[3.2.2.295.86.x1|4.2.2.295.86.x1|5.2.2.295.86.x2]	4
107	John	Antle	[3.2.2.767.113.x1|4.2.4.767.113.x1]	2
108	John	Antonov	[4.1.4.188.113.x1]	1
110	Assaf	Anyamba	[2.1.2.124.113.x1]	1
111	Shigeru	Aoki	[5.1.2.156.51.x1]	1
112	A.J.	Apling	[1.1.2.1390.117.x1]	1
113	C.	Appenzeller	[3.1.4.126.102.x1]	1
114	Michael J.	Apps	[3.2.2.790.20.x1|3.3.2.790.20.x1|4.3.3.790.20.x1]	3
115	E.	Aquize	[2.2.4.1.80.x2]	2
116	Fernando	Aragon	[5.2.2.296.64.x1]	1
117	Miguel	Araújo	[4.2.4.768.83.x1]	1
118	Julie	Arblaster	[4.1.4.166.113.x3|4.2.4.166.113.x1|5.1.2.157.6.x1]	5
119	David	Archer	[3.1.4.661.113.x1|4.1.4.661.113.x1]	2
120	Douglas	Arent	[5.2.1.297.113.x1]	1
121	A.	Aristarain	[2.2.4.1.5.x1]	1
122	Phillip A.	Arkin	[1.1.2.188.113.x2|2.1.4.1214.113.x1|3.1.4.185.113.x1]	4
123	A.	Arking	[3.1.4.124.113.x1]	1
124	Nigel	Arnell	[2.2.1.421.117.x1|3.2.1.421.117.x1|3.2.2.421.117.x2|3.2.4.421.117.x1|4.2.2.421.117.x4|5.2.2.204.117.x1]	10
125	S.	Arnott	[2.2.4.731.113.x2]	2
127	Vivek	Arora	[4.1.4.164.20.x1]	1
128	Anne	Arquit-Niederberger	[2.2.2.1273.102.x1]	1
130	Raymond	Arritt	[3.1.4.207.113.x1|4.1.4.207.113.x1]	2
131	K.J.	Arrow	[2.3.1.338.113.x1|2.3.2.338.113.x1]	2
132	Vincenzo	Artale	[4.1.2.662.49.x1]	1
133	Paulo	Artaxo	[4.1.2.158.16.x1|5.1.2.158.16.x1]	2
135	M.	Asaduzzaman	[2.3.2.1366.8.x1]	1
136	Jun	Asanuma	[4.2.4.366.51.x1]	1
137	M.R.	Ashmore	[3.1.4.1003.117.x1]	1
138	W.B.	Ashton	[2.2.2.1.113.x1]	1
139	A.J.	Askew	[2.2.4.700.102.x1]	1
140	Arne	Asmussen	[4.3.4.906.7.x1]	1
142	R.A.	Assel	[2.2.4.188.113.x1]	1
143	Maria	Assuncao Silva Dias	[5.2.2.158.16.x1]	1
144	Julius	Atlhopheng	[4.2.4.151.15.x1]	1
145	Shiv D.	Atri	[4.2.4.769.44.x1]	1
146	Samar	Attaher	[4.2.4.770.30.x1]	1
147	D.	Attard	[1.3.1.1.62.x1]	1
148	Marlene	Attzs	[5.3.3.289.109.x1]	1
149	A.	Auclair	[1.1.2.1391.20.x1]	1
150	H.	Audus	[2.2.2.911.35.x1|3.3.4.911.117.x1]	2
151	Ingeborg	Auer	[4.1.4.663.7.x1]	1
152	Maximilian	Auffhammer	[5.2.2.298.113.x1]	1
153	O.	Aumont	[3.1.4.167.35.x1]	1
154	John	Austin	[4.1.4.188.113.x1]	1
155	P.	Austin	[3.1.4.326.20.x1]	1
156	M.P.	Austin	[2.2.4.171.6.x2]	2
157	Shimon	Awerbuch	[4.3.4.1.113.x1]	1
159	P.	Ayondejo	[2.2.4.1.80.x1]	1
160	Christian	Azar	[3.2.2.1086.101.x1]	1
161	Mustafa H.	Babiker	[4.3.3.496.88.x1|5.3.2.496.88.x1]	2
162	P.G.	Babu	[2.3.4.1157.44.x1]	1
163	D.	Bachelet	[2.2.4.1274.35.x1]	1
164	Alphonsus	Baede	[1.1.2.226.107.x2|3.1.1.226.107.x1|3.1.4.226.107.x1|4.1.3.226.107.x1]	5
166	Walter	Baethgen	[2.2.2.771.113.x2|3.2.2.771.113.x1|4.2.4.771.113.x1]	4
168	A.	Baitos	[2.1.4.195.113.x1]	1
169	L.	Bajuk	[3.1.4.1004.113.x1]	1
170	David	Baker	[3.1.4.428.113.x1|4.1.4.166.113.x1]	2
171	Govindasamy	Bala	[5.1.2.159.44.x1]	1
172	John	Balbus	[5.2.3.299.113.x1]	1
173	Mark P.	Baldwin	[4.1.4.664.113.x1|5.1.4.1.117.x1]	2
175	R.	Ball	[1.2.2.1.113.x1|2.2.2.1.113.x1]	2
177	R.	Balling	[2.1.4.784.113.x1|2.2.4.784.113.x1|3.1.4.784.113.x1]	3
178	Jonathan	Bamber	[5.1.3.160.117.x1]	1
179	D.	Banister	[2.2.4.1.117.x1]	1
180	G.	Banjo	[2.2.4.1275.74.x1]	1
181	C.W.	Banning	[3.1.4.1005.36.x1]	1
182	T.	Banuri	[2.3.2.1367.78.x1|3.3.1.573.113.x1|3.3.2.573.113.x2]	4
183	Manzhu	Bao	[4.2.2.772.23.x1]	1
186	M.	Bardecki	[1.2.1.1.20.x1]	1
187	M.Y.	Bardin	[2.1.4.295.86.x1|3.1.4.295.86.x1]	2
188	Terry	Barker	[3.3.1.276.117.x1|3.3.2.276.117.x2|4.3.1.276.117.x1|4.3.2.276.117.x1|4.3.4.276.117.x1]	6
189	Chris	Barlow	[4.2.4.773.56.x1]	1
190	T.P.	Barnett	[1.1.1.544.113.x1|2.1.2.259.113.x1]	2
191	Jonathan	Barnett	[5.2.2.300.6.x2|5.2.4.300.6.x1]	3
194	Jean-Marc	Barnola	[4.1.4.257.35.x1]	1
195	A.	Barnston	[3.1.4.188.113.x1]	1
